OBJECTID,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,SHAPE_Length
81,IWL_1j,IWL_1j,SydneyTrains,T2,City Circle to Campbelltown via Granville,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.618986225987621
82,IWL_2a,IWL_2a,SydneyTrains,T2,Parramatta to City Circle,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.293902391534551
83,IWL_2b,IWL_2b,SydneyTrains,T2,Parramatta to City Circle,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.293922931871674
84,IWL_2c,,,,,,,,,,,0.571105468119502
85,IWL_2d,IWL_2d,SydneyTrains,T2,Leppington to City Circle via Granville,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.571126008456625
86,IWL_2e,,,,,,,,,,,0.541884877179281
87,IWL_2f,IWL_2f,SydneyTrains,T2,Leppington to City Circle via Regents Park,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.541864336842157
88,IWL_2g,IWL_2g,SydneyTrains,T2,Leppington to Bankstown,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.612440633762926
89,IWL_2i,,,,,,,,,,,0.618965685650498
90,IWL_2j,IWL_2j,SydneyTrains,T2,Campbelltown to City Circle via Granville,T2 Leppington & Inner West Line,2,,0098CD,FFFFFF,Rail,0.618986225987622
91,NSN_1a,NSN_1a,SydneyTrains,T1,City to Hornsby and Berowra via Gordon,T1 North Shore Line,2,,F99D1C,FFFFFF,Rail,0.346217537519826
92,NSN_2a,NSN_2a,SydneyTrains,T1,Berowra and Hornsby to City via Gordon,T1 North Shore Line,2,,F99D1C,FFFFFF,Rail,0.346217537519826
93,NSN_2i,,,,,,,,,,,0.95680549840378
94,NSN_2k,,,,,,,,,,,0.947449875445153
95,NTH_1a,NTH_1a,SydneyTrains,T9,North Shore to Hornsby and Berowra via City and Strathfield,T9 Northern Line,2,,D11F2F,FFFFFF,Rail,0.678880826154549
96,NTH_1b,NTH_1b,SydneyTrains,T9,North Shore to Hornsby and Berowra via City and Strathfield,T9 Northern Line,2,,D11F2F,FFFFFF,Rail,0.678880826154549
97,NTH_2a,NTH_2a,SydneyTrains,T9,Berowra and Hornsby to North Shore via Strathfield and City,T9 Northern Line,2,,D11F2F,FFFFFF,Rail,0.678880826154549
98,OLY_1a,OLY_1a,SydneyTrains,T7,Central to Olympic Park,T7 Olympic Park Line,2,,6F818E,FFFFFF,Rail,0.220132005918262
99,OLY_1b,OLY_1b,SydneyTrains,T7,Olympic Park to Blacktown,T7 Olympic Park Line,2,,6F818E,FFFFFF,Rail,0.229741457365156
100,OLY_2a,OLY_2a,SydneyTrains,T7,Olympic Park to Central,T7 Olympic Park Line,2,,6F818E,FFFFFF,Rail,0.220132217629073
101,OLY_2b,OLY_2b,SydneyTrains,T7,Blacktown to Olympic Park,T7 Olympic Park Line,2,,6F818E,FFFFFF,Rail,0.473266690755028
102,RTTA_DEF,RTTA_DEF,SydneyTrains,,Out Of Service,Out Of Service trips,2,,888888,FFFFFF,Rail,0
103,RTTA_REV,RTTA_REV,SydneyTrains,,Non Revenue,Non Revenue trips,2,,888888,FFFFFF,Rail,0
104,SCO_1a,SCO_1a,NSWTrains,SCO,Bondi Junction and Central to Bomaderry,South Coast Line,2,,005AA3,FFFFFF,Rail,1.56678221658279
105,SCO_1b,SCO_1b,NSWTrains,SCO,Bondi Junction and Central to Port Kembla,South Coast Line,2,,005AA3,FFFFFF,Rail,0.944816586863132
