OBJECTID,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,SHAPE_Length,origin,destination,waypoint
1,APS_1a,APS_1a,SydneyTrains,T8,City Circle to Macarthur via Airport,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.565990183097559,City Circle,Macarthur,Airport
3,APS_1c,APS_1c,SydneyTrains,T8,City Circle to Macarthur via Sydenham,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.545101681334265,City Circle,Macarthur,Sydenham
5,APS_1e,APS_1e,SydneyTrains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.497239419524516,City Circle,Leppington,Sydenham
6,APS_1f,APS_1f,SydneyTrains,T8,City Circle to Leppington via Sydenham,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.497223034946761,City Circle,Leppington,Sydenham
7,APS_2a,APS_2a,SydneyTrains,T8,Macarthur to City Circle via Airport,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.565990183097558,Macarthur,City Circle,Airport
8,APS_2b,APS_2b,SydneyTrains,T8,Leppington to City Circle via Airport,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.518127921287809,Leppington,City Circle,Airport
10,APS_2d,APS_2d,SydneyTrains,T8,Macarthur to City Circle via Sydenham,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.545085296756509,Macarthur,City Circle,Sydenham
12,APS_2f,APS_2f,SydneyTrains,T8,Leppington to City Circle via Sydenham,T8 Airport & South Line,2.0,,00954C,FFFFFF,Rail,0.497239419524516,Leppington,City Circle,Sydenham
13,BMT_1,BMT_1,NSWTrains,BMT,Central to Lithgow and Bathurst,Blue Mountains Line,2.0,,F99D1C,FFFFFF,Rail,2.41020599208807,Central,Lithgow and Bathurst,
14,BMT_2,BMT_2,NSWTrains,BMT,Bathurst and Lithgow to Central,Blue Mountains Line,2.0,,F99D1C,FFFFFF,Rail,2.41020599208807,Bathurst and Lithgow,Central,
15,CCN_1a,CCN_1a,NSWTrains,CCN,Central to Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,2.0,,D11F2F,FFFFFF,Rail,1.6121296005093,Central,Newcastle Interchange,Strathfield
16,CCN_1b,CCN_1b,NSWTrains,CCN,Central to Newcastle Interchange via Gordon,Central Coast & Newcastle Line,2.0,,D11F2F,FFFFFF,Rail,1.52374630319487,Central,Newcastle Interchange,Gordon
17,CCN_1c,CCN_1c,NSWTrains,CCN,Central to Newcastle Interchange via Strathfield,Central Coast & Newcastle Line,2.0,,D11F2F,FFFFFF,Rail,1.6121296005093,Central,Newcastle Interchange,Strathfield
18,CCN_2a,CCN_2a,NSWTrains,CCN,Newcastle Interchange to Central via Strathfield,Central Coast & Newcastle Line,2.0,,D11F2F,FFFFFF,Rail,1.6121296005093,Newcastle Interchange,Central,Strathfield
